Date,market,Close,Regime_Name,Stress_Score,Signal,Signal_Label,Signal_Reason
2024-11-26,bist100,9636.048828125,Calm/Bull,0.0041397499033819,1,BUY,Calm/Bull low stress=0.00
2024-11-27,bist100,9639.7490234375,Calm/Bull,0.010027280757875,1,BUY,Calm/Bull low stress=0.01
2024-11-28,bist100,9640.048828125,Calm/Bull,0.0026931657952296,1,BUY,Calm/Bull low stress=0.00
2024-11-29,bist100,9651.94921875,Calm/Bull,0.0025097782433149,1,BUY,Calm/Bull low stress=0.00
2024-12-02,bist100,9681.0478515625,Calm/Bull,0.0011146089798,1,BUY,Calm/Bull low stress=0.00
2024-12-03,bist100,9827.1484375,Transition,0.0041545946252509,1,BUY,Transition BUY=0.00
2024-12-04,bist100,9886.046875,Calm/Bull,0.0016171638117748,1,BUY,Calm/Bull low stress=0.00
2024-12-05,bist100,9935.947265625,Calm/Bull,0.0003417994278094,1,BUY,Calm/Bull low stress=0.00
2024-12-06,bist100,10080.9462890625,Calm/Bull,0.0004249348069663,1,BUY,Calm/Bull low stress=0.00
2024-12-09,bist100,10257.345703125,Calm/Bull,0.0011980346459329,1,BUY,Calm/Bull low stress=0.00
2024-12-10,bist100,10098.9462890625,Calm/Bull,0.0022478799355391,1,BUY,Calm/Bull low stress=0.00
2024-12-11,bist100,10058.4462890625,Calm/Bull,0.0003156872937059,1,BUY,Calm/Bull low stress=0.00
2024-12-12,bist100,10058.5458984375,Calm/Bull,0.0002005863002768,1,BUY,Calm/Bull low stress=0.00
2024-12-13,bist100,10125.4462890625,Calm/Bull,0.0003503908528871,1,BUY,Calm/Bull low stress=0.00
2024-12-16,bist100,9997.6474609375,Calm/Bull,0.0010684772032077,1,BUY,Calm/Bull low stress=0.00
2024-12-17,bist100,10011.2470703125,Calm/Bull,0.0002703121824807,1,BUY,Calm/Bull low stress=0.00
2024-12-18,bist100,9915.7470703125,Calm/Bull,0.0002449637101146,1,BUY,Calm/Bull low stress=0.00
2024-12-19,bist100,9765.0478515625,Calm/Bull,7.457239731879335e-05,1,BUY,Calm/Bull low stress=0.00
2024-12-20,bist100,9724.4482421875,Calm/Bull,2.2275811225223795e-05,1,BUY,Calm/Bull low stress=0.00
2024-12-23,bist100,9626.548828125,Calm/Bull,2.601133121540332e-05,1,BUY,Calm/Bull low stress=0.00
2024-12-24,bist100,9672.748046875,Calm/Bull,2.9187376854193458e-05,1,BUY,Calm/Bull low stress=0.00
