Date,market,Close,Regime,Regime_Name,Stress_Score
2024-12-11,dax,20399.16015625,0,Calm/Bull,9.129270599451356e-08
2024-12-12,dax,20426.26953125,0,Calm/Bull,2.664717055378121e-08
2024-12-13,dax,20405.919921875,0,Calm/Bull,2.1245788189749885e-08
2024-12-16,dax,20313.810546875,0,Calm/Bull,2.1705870207635408e-07
2024-12-17,dax,20246.369140625,0,Calm/Bull,2.164807988475536e-07
2024-12-18,dax,20242.5703125,0,Calm/Bull,9.842739921090979e-08
2024-12-19,dax,19969.859375,0,Calm/Bull,1.2043028205284594e-05
2024-12-20,dax,19884.75,0,Calm/Bull,0.19476459074677385
2024-12-23,dax,19848.76953125,0,Calm/Bull,4.280684763859826e-07
2024-12-27,dax,19984.3203125,0,Calm/Bull,3.184304609192497e-07
2024-12-30,dax,19909.140625,0,Calm/Bull,3.093490008963757e-07
2025-01-02,dax,20024.66015625,0,Calm/Bull,1.1763916699985919e-07
2025-01-03,dax,19906.080078125,0,Calm/Bull,3.8553231146416704e-08
2025-01-06,dax,20216.189453125,0,Calm/Bull,8.369421301807291e-06
2025-01-07,dax,20340.5703125,0,Calm/Bull,2.4558461716366797e-07
2025-01-08,dax,20329.939453125,0,Calm/Bull,1.98832278261051e-07
2025-01-09,dax,20317.099609375,0,Calm/Bull,2.059139266506359e-08
2025-01-10,dax,20214.7890625,0,Calm/Bull,1.0886473160819135e-06
2025-01-13,dax,20132.849609375,0,Calm/Bull,2.9399883551493316e-08
2025-01-14,dax,20271.330078125,0,Calm/Bull,2.1528175257660027e-07
2025-01-15,dax,20574.6796875,0,Calm/Bull,8.618617355737605e-05
2025-01-16,dax,20655.390625,0,Calm/Bull,9.791777625139774e-07
2025-01-17,dax,20903.390625,0,Calm/Bull,1.7018048947398423e-05
2025-01-20,dax,20990.310546875,0,Calm/Bull,2.900837375873131e-06
2025-01-21,dax,21042.0,0,Calm/Bull,1.1352969756478774e-06
2025-01-22,dax,21254.26953125,0,Calm/Bull,3.5962520402781998e-06
2025-01-23,dax,21411.529296875,0,Calm/Bull,5.129661380852174e-07
2025-01-24,dax,21394.9296875,0,Calm/Bull,1.0119173731664759e-06
2025-01-27,dax,21282.1796875,0,Calm/Bull,1.1192037994144928e-05
2025-01-28,dax,21430.580078125,0,Calm/Bull,7.594044232811305e-07
2025-01-29,dax,21637.529296875,0,Calm/Bull,2.4089078519846725e-06
2025-01-30,dax,21727.19921875,0,Calm/Bull,1.2008104261200763e-05
2025-01-31,dax,21732.05078125,0,Calm/Bull,9.424719097188264e-07
2025-02-03,dax,21428.240234375,0,Calm/Bull,1.4253089346348363e-05
2025-02-04,dax,21505.69921875,0,Calm/Bull,3.970570890257106e-07
2025-02-05,dax,21585.9296875,0,Calm/Bull,7.562382968645509e-07
2025-02-06,dax,21902.419921875,0,Calm/Bull,6.620804759179326e-05
2025-02-07,dax,21787.0,0,Calm/Bull,1.5433790475708015e-05
2025-02-10,dax,21911.740234375,0,Calm/Bull,3.730782966238488e-06
2025-02-11,dax,22037.830078125,0,Calm/Bull,2.5925644625849553e-05
2025-02-12,dax,22148.029296875,0,Calm/Bull,1.778714295217343e-05
2025-02-13,dax,22612.01953125,0,Calm/Bull,0.13611596241090063
2025-02-14,dax,22513.419921875,0,Calm/Bull,0.00013289991859753996
2025-02-17,dax,22798.08984375,0,Calm/Bull,0.0008165802470110491
2025-02-18,dax,22844.5,0,Calm/Bull,0.00019037989740078003
2025-02-19,dax,22433.630859375,2,Stress/Bear,0.9185820662258846
2025-02-20,dax,22314.650390625,0,Calm/Bull,0.0003635609062557323
2025-02-21,dax,22287.560546875,0,Calm/Bull,0.0002062026837836985
2025-02-24,dax,22425.9296875,0,Calm/Bull,0.001881425163379212
2025-02-25,dax,22410.26953125,0,Calm/Bull,0.000622409602022215
2025-02-26,dax,22794.109375,0,Calm/Bull,0.0012260888271917346
2025-02-27,dax,22550.890625,0,Calm/Bull,0.000470195625259172
2025-02-28,dax,22551.4296875,0,Calm/Bull,0.004954734377515641
2025-03-03,dax,23147.01953125,2,Stress/Bear,0.9999999998537739
2025-03-04,dax,22326.810546875,2,Stress/Bear,0.999999571396088
2025-03-05,dax,23081.029296875,2,Stress/Bear,0.9999999939572923
2025-03-06,dax,23419.48046875,2,Stress/Bear,0.9999909967830937
2025-03-07,dax,23008.939453125,2,Stress/Bear,0.999994165271164
